metric_id,metric_name,service_line,domain,unit,grain,definition,owner,power_bi_measure,certified_status,sac_ready
SL01-NET_REV,Net revenue,Cardiology,Finance,USD,Actuals,Sum of posted net revenue after contractual adjustments.,Revenue Cycle,[Cardiology Net revenue],Draft,No
SL01-OP_MARGIN,Operating margin,Cardiology,Finance,Percent,Actuals,Operating income divided by net revenue.,Finance Analytics,[Cardiology Operating margin],Certified,Yes
SL01-LABOR_CASE,Labor cost per case,Cardiology,Finance,USD,Actuals,Direct labor expense divided by adjusted cases.,Revenue Cycle,[Cardiology Labor cost per case],Certified,Yes
SL01-DENIAL_RATE,Initial denial rate,Cardiology,Revenue Cycle,Percent,Claims,Denied claims divided by submitted claims.,Operations Analytics,[Cardiology Initial denial rate],Certified,Yes
SL01-AR_DAYS,A/R days,Cardiology,Revenue Cycle,Days,Claims,Net accounts receivable divided by average daily net revenue.,Revenue Cycle,[Cardiology A/R days],Certified,Yes
SL01-SUPPLY_CASE,Supply cost per case,Cardiology,Finance,USD,Actuals,Supply expense divided by adjusted cases.,Finance Analytics,[Cardiology Supply cost per case],Certified,Yes
SL01-BUDGET_VAR,Budget variance,Cardiology,FP&A,Percent,Planning,"Actual expense minus budget, divided by budget.",FP&A,[Cardiology Budget variance],Certified,Yes
SL01-FORECAST_ACC,Forecast accuracy,Cardiology,FP&A,Percent,Planning,One minus absolute forecast error divided by actuals.,Finance Analytics,[Cardiology Forecast accuracy],Certified,Yes
SL01-CASE_MIX,Case mix index,Cardiology,Operations,Index,Clinical,Weighted clinical acuity index used for finance normalization.,Operations Analytics,[Cardiology Case mix index],Certified,Yes
SL01-VOLUME,Adjusted cases,Cardiology,Operations,Count,Clinical,Inpatient and equivalent outpatient case volume.,Revenue Cycle,[Cardiology Adjusted cases],Certified,Yes
SL02-NET_REV,Net revenue,Oncology,Finance,USD,Actuals,Sum of posted net revenue after contractual adjustments.,Finance Analytics,[Oncology Net revenue],Certified,Yes
SL02-OP_MARGIN,Operating margin,Oncology,Finance,Percent,Actuals,Operating income divided by net revenue.,Operations Analytics,[Oncology Operating margin],Draft,No
SL02-LABOR_CASE,Labor cost per case,Oncology,Finance,USD,Actuals,Direct labor expense divided by adjusted cases.,FP&A,[Oncology Labor cost per case],Certified,Yes
SL02-DENIAL_RATE,Initial denial rate,Oncology,Revenue Cycle,Percent,Claims,Denied claims divided by submitted claims.,FP&A,[Oncology Initial denial rate],Certified,Yes
SL02-AR_DAYS,A/R days,Oncology,Revenue Cycle,Days,Claims,Net accounts receivable divided by average daily net revenue.,FP&A,[Oncology A/R days],Certified,Yes
SL02-SUPPLY_CASE,Supply cost per case,Oncology,Finance,USD,Actuals,Supply expense divided by adjusted cases.,FP&A,[Oncology Supply cost per case],Certified,Yes
SL02-BUDGET_VAR,Budget variance,Oncology,FP&A,Percent,Planning,"Actual expense minus budget, divided by budget.",Revenue Cycle,[Oncology Budget variance],Certified,Yes
SL02-FORECAST_ACC,Forecast accuracy,Oncology,FP&A,Percent,Planning,One minus absolute forecast error divided by actuals.,Finance Analytics,[Oncology Forecast accuracy],Conflicting logic,No
