entity_id,entity_name,segment,owner
REP001,Reporting metric 1,Strategic,Customer
REP002,Reporting metric 2,Watch,Operations
REP003,Reporting metric 3,Strategic,Product
REP004,Reporting metric 4,Growth,Analytics
REP005,Reporting metric 5,Strategic,Revenue
REP006,Reporting metric 6,Strategic,Operations
REP007,Reporting metric 7,Core,Revenue
REP008,Reporting metric 8,Watch,Analytics
REP009,Reporting metric 9,Growth,Revenue
REP010,Reporting metric 10,Watch,Analytics
REP011,Reporting metric 11,Strategic,Product
REP012,Reporting metric 12,Watch,Customer
REP013,Reporting metric 13,Strategic,Customer
REP014,Reporting metric 14,Growth,Operations
REP015,Reporting metric 15,Core,Product
REP016,Reporting metric 16,Strategic,Customer
REP017,Reporting metric 17,Growth,Operations
REP018,Reporting metric 18,Growth,Product
REP019,Reporting metric 19,Growth,Analytics
REP020,Reporting metric 20,Core,Analytics
REP021,Reporting metric 21,Watch,Operations
REP022,Reporting metric 22,Growth,Revenue
REP023,Reporting metric 23,Growth,Operations
REP024,Reporting metric 24,Core,Product
REP025,Reporting metric 25,Core,Analytics
REP026,Reporting metric 26,Watch,Customer
REP027,Reporting metric 27,Core,Analytics
REP028,Reporting metric 28,Growth,Product
REP029,Reporting metric 29,Growth,Product
REP030,Reporting metric 30,Strategic,Analytics
REP031,Reporting metric 31,Watch,Analytics
REP032,Reporting metric 32,Growth,Operations
REP033,Reporting metric 33,Watch,Customer
REP034,Reporting metric 34,Core,Operations
REP035,Reporting metric 35,Core,Revenue
REP036,Reporting metric 36,Core,Revenue
