dashboard_id,dashboard_name,portfolio,audience,metric_count,certified_metric_pct,format_score,manual_hours_monthly,refresh_sla_pct,stakeholder_count,sac_coverage_pct,owner
FIN-001,Monthly close executive packet,Finance,Executive,7,90.1,77.7,14,81.5,13,86.2,Finance BI
FIN-002,Service line margin review,Finance,Director,15,57.8,94.1,10,91.9,8,88.6,Enterprise Analytics
FIN-003,Labor productivity monitor,Finance,Manager,15,69.9,79.0,8,85.4,15,65.7,Finance BI
FIN-004,Supply cost variance board,Finance,Manager,13,92.2,62.9,8,88.0,5,56.2,Enterprise Analytics
RCM-001,Denials and A/R command center,Revenue Cycle,Director,15,55.9,61.0,12,87.4,15,48.9,Enterprise Analytics
RCM-002,Payer mix and reimbursement report,Revenue Cycle,Manager,8,91.7,91.7,13,97.4,15,33.7,Finance BI
OPS-001,Volume and capacity dashboard,Operations,Director,15,52.9,75.8,11,94.3,5,23.9,Revenue Cycle Analytics
OPS-002,Ancillary utilization scorecard,Operations,Manager,15,91.0,59.1,11,91.6,16,27.5,Enterprise Analytics
FPA-001,Forecast version bridge,FP&A,Executive,13,77.3,65.3,4,84.3,8,53.6,FP&A Reporting
FPA-002,Budget owner review packet,FP&A,Director,9,92.7,59.3,5,87.9,16,33.3,FP&A Reporting
GOV-001,Metric certification tracker,Analytics,Manager,14,77.8,66.0,4,85.4,21,25.1,FP&A Reporting
GOV-002,Dashboard adoption and intake queue,Analytics,Director,13,69.0,67.9,13,93.3,8,37.5,Finance BI
