dashboard_id,dashboard_name,portfolio,standardization_score,certified_metric_pct,format_score,failed_refreshes,open_high_requirements,manual_hours_monthly,sac_gap_pct,recommended_decision
OPS-001,Volume and capacity dashboard,Operations,73.7,52.9,75.8,3,3,11,76.1,Standardize next
FIN-001,Monthly close executive packet,Finance,71.5,90.1,77.7,5,3,14,13.8,Standardize next
RCM-001,Denials and A/R command center,Revenue Cycle,68.3,55.9,61.0,4,1,12,51.1,Standardize next
FPA-001,Forecast version bridge,FP&A,67.6,77.3,65.3,5,2,4,46.4,Standardize next
FPA-002,Budget owner review packet,FP&A,64.3,92.7,59.3,3,3,5,66.7,Schedule requirements review
FIN-004,Supply cost variance board,Finance,62.6,92.2,62.9,4,2,8,43.8,Schedule requirements review
OPS-002,Ancillary utilization scorecard,Operations,60.9,91.0,59.1,0,4,11,72.5,Schedule requirements review
GOV-001,Metric certification tracker,Analytics,59.1,77.8,66.0,1,3,4,74.9,Schedule requirements review
GOV-002,Dashboard adoption and intake queue,Analytics,55.1,69.0,67.9,1,1,13,62.5,Schedule requirements review
FIN-002,Service line margin review,Finance,48.5,57.8,94.1,1,2,10,11.4,Schedule requirements review
FIN-003,Labor productivity monitor,Finance,44.4,69.9,79.0,1,1,8,34.3,Monitor
RCM-002,Payer mix and reimbursement report,Revenue Cycle,38.5,91.7,91.7,0,0,13,66.3,Monitor
